epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,868.792,1.60868,1.544,1.16578,0.46508,0.108,0.11194,0.07584,1.35562,1.22138,1.0693,0.000369313,0.000369313,0.000369313
2,1988.77,1.4241,1.12036,1.06004,0.46859,0.09002,0.09845,0.06479,1.27016,0.99361,1.012,0.000725001,0.000725001,0.000725001
3,3284.21,1.39692,1.05242,1.03976,0.42979,0.08433,0.09431,0.06133,1.31726,1.09354,1.027,0.00106602,0.00106602,0.00106602
4,4616.72,1.36191,0.99597,1.0288,0.43083,0.09288,0.09941,0.06626,1.21619,0.93388,0.98035,0.00104501,0.00104501,0.00104501
