epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,652.136,1.36836,1.07961,1.05734,0.51556,0.13361,0.13777,0.08437,1.22525,0.97046,0.99789,0.000369313,0.000369313,0.000369313
2,1500.08,1.34798,1.01166,1.03848,0.55712,0.10507,0.12036,0.07726,1.20544,0.89368,0.98808,0.000666421,0.000666421,0.000666421
3,2423.24,1.31746,0.95138,1.02474,0.57276,0.09059,0.11458,0.07539,1.17998,0.84912,0.96784,0.000890204,0.000890204,0.000890204
4,3306.4,1.28476,0.89967,1.01251,0.5719,0.09006,0.1088,0.07452,1.20293,0.83725,0.98563,0.000781033,0.000781033,0.000781033
5,4164.19,1.26022,0.8569,1.00155,0.57489,0.12532,0.14676,0.09764,1.16542,0.80092,0.96716,0.000671044,0.000671044,0.000671044
6,4992.45,1.23453,0.82365,0.9901,0.60426,0.11696,0.13381,0.08718,1.20279,0.7868,0.96418,0.000561055,0.000561055,0.000561055
7,5943.69,1.20463,0.78995,0.97869,0.56885,0.13896,0.15971,0.10832,1.11746,0.71868,0.94235,0.000451066,0.000451066,0.000451066
8,6895.68,1.17308,0.75341,0.96674,0.63124,0.13901,0.16213,0.11108,1.07623,0.67821,0.93136,0.000341077,0.000341077,0.000341077
9,7782.02,1.14982,0.72723,0.95769,0.65441,0.16334,0.18762,0.12712,1.07384,0.66886,0.92871,0.000231088,0.000231088,0.000231088
10,8564.41,1.12304,0.70313,0.94872,0.64527,0.14616,0.16995,0.11681,1.04372,0.64067,0.91767,0.000121099,0.000121099,0.000121099
